,age,gender,scholarship,1st_year,gpa,1st_time,taste,importance,expected_grade,knowledge,treated,grade_goal,confidence,anxiety,time,exam_date
2,19,1,0,1,25,1,3,4,21,0,1,25,3,5,4,1
4,19,1,0,1,25,1,3,3,19,1,1,20,3,4,6,1
5,23,1,0,1,20,1,3,3,22,0,0,25,3,3,5,2
7,19,1,0,1,25,1,4,3,21,1,1,25,4,5,4,1
8,21,0,0,1,23,1,3,4,19,0,0,23,4,2,6,1
9,19,1,0,1,17,1,3,4,31,0,0,27,1,5,6,1
10,20,0,0,1,25,1,4,4,22,0,1,18,1,5,5,1
11,19,0,0,1,28,1,3,4,20,1,0,24,3,4,5,1
13,20,1,0,1,24,1,3,4,21,1,1,23,3,4,6,1
14,20,0,0,1,25,1,3,4,22,1,1,25,4,3,4,1
15,19,0,0,1,25,1,3,5,21,0,1,26,3,4,4,1
16,19,0,0,1,30,1,3,3,18,0,0,25,3,5,4,2
17,20,1,0,1,21,1,4,3,22,0,0,25,3,4,5,1
18,21,0,0,1,19,1,4,5,22,0,1,30,4,3,5,1
19,19,1,0,1,28,1,3,4,24,1,0,30,4,2,3,1
20,20,0,0,1,26,1,3,4,24,1,1,28,4,4,6,2
21,19,1,0,1,24,1,4,4,23,0,0,28,5,1,3,1
22,20,0,0,1,25,1,4,5,22,0,1,20,3,3,4,1
23,20,0,0,1,22,1,4,4,20,0,1,28,4,3,6,1
24,19,1,0,1,24,1,3,4,25,0,0,27,4,3,5,1
25,19,1,0,1,24,1,3,3,20,1,0,20,3,2,3,1
26,20,1,0,1,24,1,3,4,23,0,1,26,4,3,5,1
27,19,0,0,1,24,1,3,4,24,1,1,25,4,3,5,1
28,20,1,0,1,17,1,3,3,19,0,0,24,2,4,5,1
29,19,1,0,1,26,1,4,4,29,1,1,30,5,5,4,1
30,19,0,0,1,26,1,5,5,22,1,0,25,4,3,5,1
31,20,0,0,1,26,1,4,4,21,0,1,22,3,3,6,1
33,19,1,0,1,24,1,3,4,24,0,0,25,4,4,5,1
35,20,1,0,1,25,1,3,3,22,0,0,24,3,4,5,1
36,20,0,0,1,26,1,4,4,21,1,1,27,3,3,5,1
37,19,0,0,1,26,1,3,4,22,0,1,28,4,3,5,1
38,21,0,0,1,28,1,4,4,23,1,0,31,3,3,5,1
39,20,0,0,1,21,1,4,4,22,1,0,25,3,4,5,1
40,19,0,0,1,26,1,3,4,24,0,1,25,3,2,6,1
41,19,0,0,1,21,1,4,4,21,0,1,30,3,4,6,1
43,19,1,0,1,25,1,3,4,24,1,0,28,3,5,3,1
