,age,gender,scholarship,1st_year,gpa,1st_time,taste,importance,expected_grade,knowledge,treated
1,19,0,1,1,23,1,4,3,22,0,0
2,19,1,0,1,25,1,3,4,21,0,1
3,19,0,0,0,23,1,3,3,19,0,0
4,19,1,0,1,25,1,3,3,19,1,1
5,23,1,0,1,20,1,3,3,22,0,0
6,19,1,1,1,25,1,4,4,21,1,1
7,19,1,0,1,25,1,4,3,21,1,1
8,21,0,0,1,23,1,3,4,19,0,0
9,19,1,0,1,17,1,3,4,31,0,0
10,20,0,0,1,25,1,4,4,22,0,1
11,19,0,0,1,28,1,3,4,20,1,0
12,20,0,0,0,23,1,4,4,22,0,0
13,20,1,0,1,24,1,3,4,21,1,1
14,20,0,0,1,25,1,3,4,22,1,1
15,19,0,0,1,25,1,3,5,21,0,1
16,19,0,0,1,30,1,3,3,18,0,0
17,20,1,0,1,21,1,4,3,22,0,0
18,21,0,0,1,19,1,4,5,22,0,1
19,19,1,0,1,28,1,3,4,24,1,0
20,20,0,0,1,26,1,3,4,24,1,1
21,19,1,0,1,24,1,4,4,23,0,0
22,20,0,0,1,25,1,4,5,22,0,1
23,20,0,0,1,22,1,4,4,20,0,1
24,19,1,0,1,24,1,3,4,25,0,0
25,19,1,0,1,24,1,3,3,20,1,0
26,20,1,0,1,24,1,3,4,23,0,1
27,19,0,0,1,24,1,3,4,24,1,1
28,20,1,0,1,17,1,3,3,19,0,0
29,19,1,0,1,26,1,4,4,29,1,1
30,19,0,0,1,26,1,5,5,22,1,0
31,20,0,0,1,26,1,4,4,21,0,1
32,20,0,0,0,24,1,3,4,23,0,0
33,19,1,0,1,24,1,3,4,24,0,0
34,19,1,1,1,27,1,4,4,21,0,1
35,20,1,0,1,25,1,3,3,22,0,0
36,20,0,0,1,26,1,4,4,21,1,1
37,19,0,0,1,26,1,3,4,22,0,1
38,21,0,0,1,28,1,4,4,23,1,0
39,20,0,0,1,21,1,4,4,22,1,0
40,19,0,0,1,26,1,3,4,24,0,1
41,19,0,0,1,21,1,4,4,21,0,1
42,22,0,0,0,20,1,3,4,20,1,0
43,19,1,0,1,25,1,3,4,24,1,0
44,19,1,1,1,27,1,4,4,21,0,0
45,19,0,0,1,25,1,3,4,23,0,1
46,19,0,0,1,24,1,2,4,20,0,0
47,20,1,0,1,25,1,3,5,23,0,0
48,19,1,0,1,26,1,4,4,29,1,1
49,20,0,0,1,25,1,2,4,22,0,0
50,20,0,0,1,26,1,4,5,20,1,1
51,19,1,0,1,26,1,3,4,21,1,0
52,19,0,1,1,29,1,3,4,24,0,0
53,20,0,0,1,24,1,4,4,21,0,1
54,21,0,0,1,21,1,3,3,17,0,0
55,19,0,0,1,21,1,4,4,21,0,0
56,19,1,0,1,22,1,3,4,19,0,0
57,19,1,0,1,29,1,3,4,23,1,0
58,21,0,0,0,24,1,1,1,30,0,0
59,19,0,0,1,17,1,4,4,19,0,0
60,19,0,0,1,26,1,4,3,24,0,0
61,19,1,0,1,25,1,3,4,20,0,0
62,19,0,0,1,25,1,4,4,20,1,1
63,19,1,0,1,25,1,3,4,22,0,1
64,19,0,0,1,26,1,3,4,22,1,0
65,19,0,0,1,29,1,3,4,22,0,1
66,22,0,0,1,24,1,3,4,22,0,0
67,25,0,0,0,29,1,3,4,23,0,1
68,19,0,0,1,24,1,4,4,20,0,0
69,20,0,0,1,23,1,2,3,20,0,0
70,19,1,0,1,24,1,4,4,25,0,1
71,21,1,0,1,17,1,4,4,22,0,0
72,22,0,0,0,28,1,3,4,23,1,0
73,19,1,1,1,28,1,3,4,23,0,0
74,19,0,0,1,24,1,3,4,22,1,0
75,19,1,0,1,21,1,2,3,21,0,1
76,20,1,0,1,21,1,3,5,21,0,0
77,19,0,0,1,24,1,4,4,23,0,0
78,20,0,0,1,28,1,3,4,19,0,0
79,20,0,0,0,23,1,3,4,17,1,1
80,19,0,0,1,23,1,3,5,22,0,1
81,21,0,1,1,27,1,3,3,22,1,1
82,19,0,0,1,30,1,3,4,23,0,1
83,20,1,0,1,27,1,3,4,18,0,1
84,20,1,1,1,28,1,3,4,23,1,1
85,19,1,0,1,26,1,3,4,22,0,0
86,23,1,0,1,20,1,3,4,21,0,1
87,19,0,0,1,25,1,3,4,18,0,1
88,19,1,0,1,28,1,3,4,23,0,1
89,20,0,0,1,25,1,3,4,22,0,0
90,19,1,0,1,25,1,3,5,30,0,1
91,20,1,0,1,17,1,3,4,19,0,0
92,19,1,0,1,26,1,2,3,25,0,0
93,19,0,0,1,27,1,3,3,25,0,0
94,19,1,0,1,23,0,4,5,24,0,0
95,21,1,1,1,27,1,3,3,23,1,1
96,20,1,0,1,25,1,3,4,23,0,0
97,20,0,0,1,29,1,5,5,24,1,1
98,21,0,0,0,21,0,2,1,19,0,0
99,19,1,0,1,22,1,4,4,21,0,1
100,20,0,0,1,29,1,4,5,20,1,1
101,21,0,0,1,29,1,3,3,30,0,1
102,21,0,0,1,21,1,4,5,20,1,1
103,19,0,0,1,19,1,3,3,21,0,1
104,19,1,0,1,24,1,3,3,18,1,0
105,20,0,0,1,23,1,3,4,23,0,1
106,20,0,0,1,29,1,4,4,23,0,1
107,19,1,0,1,25,1,2,4,23,0,0
108,25,0,0,1,26,1,4,4,22,0,0
109,20,1,0,1,27,1,3,4,20,0,1
110,20,0,0,1,24,1,4,4,23,0,1
111,19,0,0,1,20,1,4,4,27,0,1
112,19,1,0,1,25,1,3,3,23,0,1
113,20,0,0,0,17,1,3,4,23,1,0
114,19,1,0,1,24,1,4,4,20,1,0
115,19,0,1,1,27,1,3,4,26,0,1
116,19,1,0,1,25,1,3,4,19,1,1
117,19,1,0,1,22,1,3,3,18,0,0
118,21,0,0,1,21,1,2,4,19,0,0
119,20,0,0,1,20,1,4,5,19,0,0
120,20,1,0,1,23,1,4,5,27,1,1
121,21,0,0,1,21,0,3,5,24,0,0
122,20,1,0,1,26,1,4,5,23,1,0
123,20,0,0,1,27,1,4,4,23,0,1
124,20,1,0,1,24,1,4,4,17,1,0
125,20,0,0,1,21,1,4,4,20,1,0
126,20,0,0,1,27,1,4,5,17,1,1
127,20,1,0,1,21,1,3,4,22,0,1
128,20,1,0,1,25,1,3,4,23,0,0
129,23,1,0,1,24,1,4,3,23,0,1
130,19,0,0,1,17,1,4,4,23,0,1
131,19,1,0,1,26,1,4,4,23,0,0
132,19,0,0,1,30,1,4,4,19,1,1
133,19,1,0,1,26,1,3,4,23,0,0
134,20,1,0,1,21,1,4,4,23,0,1
135,19,0,0,1,26,1,3,4,21,0,1
136,20,0,0,1,28,1,4,5,22,0,0
137,20,1,0,1,26,1,3,3,19,1,1
138,20,1,0,1,22,1,3,3,21,1,1
139,22,1,0,1,18,1,3,4,17,0,0
140,19,1,0,1,26,1,3,5,24,0,1
141,23,0,0,1,28,1,4,4,24,0,1
142,19,0,0,1,26,1,4,4,18,0,1
143,19,1,1,1,27,1,4,4,23,0,1
144,20,1,0,1,29,1,3,4,21,0,0
145,20,1,0,1,27,1,5,5,24,0,1
146,19,1,0,1,27,1,3,4,22,0,0
147,19,1,0,1,24,1,3,3,24,0,1
148,19,1,0,1,24,1,3,5,20,0,1
149,19,0,0,1,26,1,3,4,19,1,1
150,22,1,0,1,22,1,3,4,20,1,0
151,19,0,0,1,25,1,4,5,21,0,0
152,19,1,0,1,23,1,3,4,23,0,1
153,25,0,0,1,17,1,4,4,22,0,0
